"id","pid","dname","short_name","pinyin","type","nature","relevant","jcdwid","sort","enabled","last_modify_time","create_time","classification","legal_person","registered_capital","addr","trade","level","agency","contacter","contact_phone","score","is_zg_dept","plan_type","is_outdept","all_name","seal_icon","dlt"
"586843722324799664","586843722324799608","变电运维一班(运维工区)","变电运维一班(运维工区)","bdywyb(ywgq)","banzu","","","586843722324799608","3","0","2018/5/29 11:22:55","2018/5/29 11:22:55","","","","","","","","","","100","","","","变电运维一班(运维工区)","","0"
"586843722324799665","586843722324799608","变电运维八班(运维工区)","变电运维八班(运维工区)","bdywbb(ywgq)","banzu","","","586843722324799608","4","0","2018/5/29 11:23:29","2018/5/29 11:23:29","","","","","","","","","","100","","","","变电运维八班(运维工区)","","0"
"586843722324799666","586843722324799608","变电运维六班(彭州)","变电运维六班(彭州)","bdywlb(pz)","banzu","","","586843722324799608","5","0","2018/5/29 11:23:55","2018/5/29 11:23:55","","","","","","","","","","100","","","","变电运维六班(彭州)","","0"
"586843722324799667","586843722324799608","变电运维六班(新津)","变电运维六班(新津)","bdywlb(xj)","banzu","","","586843722324799608","6","0","2018/5/29 11:24:26","2018/5/29 11:24:26","","","","","","","","","","100","","","","变电运维六班(新津)","","0"
"586843722324799668","1","广元公司","广元公司","gygs","dishi","","","586843722324799668","22","0","2018/5/29 11:24:51","2018/5/29 11:24:51","","","","","","","","","","100","","","","广元公司","","0"
"586843722324799669","586843722324799668","变电运维三班","变电运维三班","bdywsb","banzu","","","586843722324799668","1","0","2018/5/29 11:25:13","2018/5/29 11:25:13","","","","","","","","","","100","","","","变电运维三班","","0"
"586843722324799670","1","资阳公司","资阳公司","zygs","dishi","","","586843722324799670","23","0","2018/5/29 11:25:33","2018/5/29 11:25:33","","","","","","","","","","100","","","","资阳公司","","0"
"586843722324799671","586843722324799670","乐至分公司变电运维班","乐至分公司变电运维班","lzfgsbdywb","banzu","","","586843722324799670","1","0","2018/5/29 11:25:45","2018/5/29 11:25:45","","","","","","","","","","100","","","","乐至分公司变电运维班","","0"
"586843722324799672","1","检修公司","检修公司","jxgs","dishi","","","586843722324799672","0","0","2018/5/29 11:27:42","2018/5/29 11:27:42","","","","","","","","","","100","","","","检修公司","","0"
"586843722324799673","586843722324799672","变电运维一班(绵阳分部)","变电运维一班(绵阳分部)","bdywyb(myfb)","banzu","","","586843722324799672","1","0","2018/5/29 11:28:27","2018/5/29 11:28:26","","","","","","","","","","100","","","","变电运维一班(绵阳分部)","","0"
"586843722324799674","586843722324799672","变电运维二班(绵阳分部)","变电运维二班(绵阳分部)","bdyweb(myfb)","banzu","","","586843722324799672","2","0","2018/5/29 11:29:15","2018/5/29 11:29:15","","","","","","","","","","100","","","","变电运维二班(绵阳分部)","","0"
"586843722324799675","586843722324799672","变电运维一班(西昌分部)","变电运维一班(西昌分部)","bdywyb(xcfb)","banzu","","","586843722324799672","3","0","2018/5/29 11:29:59","2018/5/29 11:29:59","","","","","","","","","","100","","","","变电运维一班(西昌分部)","","0"
"586843722324799676","586843722324799672","变电运维二班(西昌分部)","变电运维二班(西昌分部)","bdyweb(xcfb)","banzu","","","586843722324799672","4","0","2018/5/29 11:30:35","2018/5/29 11:30:35","","","","","","","","","","100","","","","变电运维二班(西昌分部)","","0"
"586843722324799677","586843722324799672","变电运维三班(西昌分部)","变电运维三班(西昌分部)","bdywsb(xcfb)","banzu","","","586843722324799672","5","0","2018/5/29 11:31:13","2018/5/29 11:31:13","","","","","","","","","","100","","","","变电运维三班(西昌分部)","","0"
"586843722324799678","586843722324799672","变电运维班(自贡分部)","变电运维班(自贡分部)","bdywb(zgfb)","banzu","","","586843722324799672","6","0","2018/5/29 11:31:46","2018/5/29 11:31:46","","","","","","","","","","100","","","","变电运维班(自贡分部)","","0"
"586843722324799679","586843722324799672","变电运维一班(乐山分部)","变电运维一班(乐山分部)","bdywyb(lsfb)","banzu","","","586843722324799672","7","0","2018/5/29 11:32:28","2018/5/29 11:32:28","","","","","","","","","","100","","","","变电运维一班(乐山分部)","","0"
"586843722324799680","586843722324799672","变电运维二班(乐山分部)","变电运维二班(乐山分部)","bdyweb(lsfb)","banzu","","","586843722324799672","8","0","2018/5/29 11:33:01","2018/5/29 11:33:01","","","","","","","","","","100","","","","变电运维二班(乐山分部)","","0"
"586843722324799681","586843722324799672","变电运维一班(南充分部)","变电运维一班(南充分部)","bdywyb(ncfb)","banzu","","","586843722324799672","9","0","2018/5/29 11:33:40","2018/5/29 11:33:40","","","","","","","","","","100","","","","变电运维一班(南充分部)","","0"
"586843722324799682","586843722324799672","变电运维二班(南充分部)","变电运维二班(南充分部)","bdyweb(ncfb)","banzu","","","586843722324799672","10","0","2018/5/29 11:34:09","2018/5/29 11:34:09","","","","","","","","","","100","","","","变电运维二班(南充分部)","","0"
"586843722324799683","586843722324799672","变电运维一班(成都分部)","变电运维一班(成都分部)","bdywyb(cdfb)","banzu","","","586843722324799672","11","0","2018/5/29 11:34:44","2018/5/29 11:34:44","","","","","","","","","","100","","","","变电运维一班(成都分部)","","0"
"586843722324799684","586843722324799672","变电运维二班(成都分部)","变电运维二班(成都分部)","bdyweb(cdfb)","banzu","","","586843722324799672","12","0","2018/5/29 11:35:15","2018/5/29 11:35:15","","","","","","","","","","100","","","","变电运维二班(成都分部)","","0"
"586843722324799685","586843722324799672","变电运维三班(成都分部)","变电运维三班(成都分部)","bdywsb(cdfb)","banzu","","","586843722324799672","14","0","2018/5/29 11:35:38","2018/5/29 11:35:38","","","","","","","","","","100","","","","变电运维三班(成都分部)","","0"
"586843722324799686","586843722324799672","变电运维一班(雅安分部)","变电运维一班(雅安分部)","bdywyb(yafb)","banzu","","","586843722324799672","15","0","2018/5/29 11:36:07","2018/5/29 11:36:07","","","","","","","","","","100","","","","变电运维一班(雅安分部)","","0"
"586843722324799687","586843722324799672","变电运维二班(雅安分部)","变电运维二班(雅安分部)","bdyweb(yafb)","banzu","","","586843722324799672","16","0","2018/5/29 11:36:39","2018/5/29 11:36:39","","","","","","","","","","100","","","","变电运维二班(雅安分部)","","0"
"586843722324799688","586843722324799672","变电运维三班(雅安分部)","变电运维三班(雅安分部)","bdywsb(yafb)","banzu","","","586843722324799672","16","0","2018/5/29 11:37:10","2018/5/29 11:37:10","","","","","","","","","","100","","","","变电运维三班(雅安分部)","","0"
"586843722324799689","586843722324799672","变电运维四班(雅安分部)","变电运维四班(雅安分部)","bdywsb(yafb)","banzu","","","586843722324799672","17","0","2018/5/29 11:37:41","2018/5/29 11:37:41","","","","","","","","","","100","","","","变电运维四班(雅安分部)","","0"
